#PicoHarp 300  Histogram Data			02/09/2013 15:34										
#channels per curve													
11000													
#display curve no.													
0	1	2	3	4	5								
memory block no.													
P-grnf1	P-grnf2	IRF1	IRF2	4	P_redfilter								
#ns/channel													
"0,0040"	"0,0040"	"0,0040"	"0,0040"	"0,0040"	"0,0040"								
Counts	Counts	Counts	Counts	Counts	Counts	t[ns]	Intens.	t[ns]	Intens.	t[ns]	Intens.	t[ns]	Intens.
25	5	5	10	0	4	0.9604	1	1.0244	0	0.9677	1	1.0401	0
19	11	3	3	0	3	0.9677	1	1.0317	1	0.9751	1	1.0474	1
16	7	2	3	0	2	0.9751	0	1.0391	1	0.9824	2	1.0548	1
21	4	0	4	0	0	0.9824	1	1.0464	0	0.9897	1	1.0621	0
18	6	2	3	0	5	0.9897	0	1.0537	0	0.997	3	1.0694	0
23	6	2	4	0	4	0.997	0	1.061	0	1.0044	5	1.0767	0
19	11	2	4	0	5	1.0044	0	1.0684	0	1.0117	2	1.0841	1
21	5	5	8	0	4	1.0117	0	1.0757	0	1.019	0	1.0914	1
19	12	0	11	0	4	1.019	0	1.083	0	1.0264	1	1.0987	1
17	9	3	4	0	3	1.0264	0	1.0904	1	1.0337	1	1.1061	1
28	3	4	5	0	5	1.0337	0	1.0977	1	1.041	1	1.1134	0
13	9	0	5	0	7	1.041	0	1.105	1	1.0484	1	1.1207	0
20	7	1	5	0	3	1.0484	3	1.1124	1	1.0557	0	1.1281	0
19	7	5	5	0	5	1.0557	0	1.1197	0	1.063	3	1.1354	0
24	12	1	6	0	1	1.063	0	1.127	1	1.0704	2	1.1427	0
12	9	3	3	0	4	1.0704	0	1.1344	0	1.0777	2	1.1501	0
17	8	2	4	0	6	1.0777	0	1.1417	1	1.085	1	1.1574	0
23	9	1	4	0	8	1.085	0	1.149	2	1.0924	0	1.1647	0
22	2	1	4	0	4	1.0924	1	1.1563	0	1.0997	1	1.1721	0
20	6	3	4	0	4	1.0997	0	1.1637	0	1.107	2	1.1794	0
23	5	0	8	0	4	1.107	0	1.171	0	1.1143	0	1.1867	1
16	7	2	5	0	4	1.1143	0	1.1783	0	1.1217	2	1.194	1
19	1	3	10	0	6	1.1217	0	1.1857	0	1.129	1	1.2014	0
29	7	1	6	0	4	1.129	1	1.193	0	1.1363	1	1.2087	0
11	5	1	8	0	4	1.1363	0	1.2003	0	1.1437	2	1.216	0
13	12	2	3	0	1	1.1437	1	1.2077	0	1.151	0	1.2234	1
15	5	2	6	0	2	1.151	1	1.215	1	1.1583	1	1.2307	0
20	4	0	6	0	3	1.1583	0	1.2223	0	1.1657	0	1.238	0
19	8	2	4	0	1	1.1657	0	1.2297	1	1.173	2	1.2454	0
12	9	0	11	0	7	1.173	1	1.237	1	1.1803	3	1.2527	0
22	7	2	7	0	5	1.1803	1	1.2443	0	1.1877	2	1.26	0
22	12	1	6	0	6	1.1877	1	1.2517	0	1.195	1	1.2674	1
19	6	1	2	0	3	1.195	1	1.259	0	1.2023	2	1.2747	0
20	10	2	5	0	3	1.2023	0	1.2663	0	1.2097	1	1.282	0
12	8	0	3	0	5	1.2097	3	1.2736	0	1.217	3	1.2894	2
24	7	3	7	0	1	1.217	1	1.281	0	1.2243	0	1.2967	0
14	10	1	4	0	1	1.2243	1	1.2883	0	1.2316	0	1.304	0
23	7	1	7	0	3	1.2316	0	1.2956	0	1.239	4	1.3113	1
16	6	1	10	0	1	1.239	0	1.303	0	1.2463	1	1.3187	0
