PicoQuant	FluoFit	4.4.0.1				
Saved	:	08/04/2011	16:20:08			
Data	Set	#0				
Decay	IRF					
t[ns]	Intens.	t[ns]	Intens.			
4.2594	3133	4.3234	0			
4.2668	3168	4.3308	0			
4.2741	3076	4.3381	2			
4.2814	3134	4.3454	0			
4.2888	2978	4.3528	0			
4.2961	3087	4.3601	1			
4.3034	2924	4.3674	0			
4.3108	3010	4.3748	0			
4.3181	3028	4.3821	0			
4.3254	2986	4.3894	0			
4.3328	2887	4.3967	0			
4.3401	2916	4.4041	0			
4.3474	2906	4.4114	0			
4.3547	2819	4.4187	0			
4.3621	2888	4.4261	0			
4.3694	2893	4.4334	0			
4.3767	2795	4.4407	0			
4.3841	2799	4.4481	0			
4.3914	2804	4.4554	0			
4.3987	2764	4.4627	1			
4.4061	2727	4.4701	0			
4.4134	2592	4.4774	0			
4.4207	2765	4.4847	0			
4.4281	2746	4.4921	2			
4.4354	2737	4.4994	1			
4.4427	2731	4.5067	0			
4.4501	2618	4.514	0			
4.4574	2699	4.5214	1			
4.4647	2608	4.5287	0			
4.472	2656	4.536	0			
4.4794	2542	4.5434	0			
4.4867	2553	4.5507	0			
4.494	2544	4.558	1			
4.5014	2523	4.5654	0			
4.5087	2480	4.5727	0			
4.516	2550	4.58	0			
4.5234	2527	4.5874	0			
4.5307	2436	4.5947	0			
4.538	2433	4.602	0			
4.5454	2407	4.6094	0			
4.5527	2439	4.6167	0			
4.56	2435	4.624	0			
4.5674	2384	4.6313	0			
4.5747	2373	4.6387	0			
4.582	2433	4.646	0			
4.5893	2358	4.6533	0			
4.5967	2316	4.6607	1			
4.604	2298	4.668	0			
4.6113	2238	4.6753	0			
4.6187	2261	4.6827	0			
4.626	2197	4.69	0			
4.6333	2229	4.6973	0			
4.6407	2236	4.7047	0			
4.648	2262	4.712	0			
4.6553	2302	4.7193	1			
4.6627	2163	4.7267	0			
4.67	2253	4.734	0			
4.6773	2138	4.7413	0			
4.6847	2113	4.7486	0			
4.692	2175	4.756	0			
4.6993	2136	4.7633	1			
4.7066	2092	4.7706	0			
4.714	2102	4.778	0			
4.7213	2103	4.7853	0			
4.7286	2087	4.7926	0			
4.736	2040	4.8	0			
4.7433	2076	4.8073	0			
4.7506	2084	4.8146	0			
4.758	2012	4.822	1			
4.7653	2040	4.8293	0			
4.7726	1982	4.8366	0			
4.78	2041	4.844	0			
4.7873	1971	4.8513	0			
4.7946	1967	4.8586	0			
4.802	1957	4.8659	0			
4.8093	1964	4.8733	2			
4.8166	1895	4.8806	0			
4.8239	1929	4.8879	0			
4.8313	1869	4.8953	0			
4.8386	1869	4.9026	1			
4.8459	1964	4.9099	0			
4.8533	1890	4.9173	1			
4.8606	1869	4.9246	0			
4.8679	1770	4.9319	0			
4.8753	1868	4.9393	1			
4.8826	1842	4.9466	0			
4.8899	1801	4.9539	0			
4.8973	1809	4.9613	0			
4.9046	1801	4.9686	0			
4.9119	1778	4.9759	2			
4.9192	1743	4.9832	0			
4.9266	1738	4.9906	0			
4.9339	1697	4.9979	0			
4.9412	1799	5.0052	0			
4.9486	1722	5.0126	0			
4.9559	1704	5.0199	0			
4.9632	1794	5.0272	1			
4.9706	1739	5.0346	0			
4.9779	1602	5.0419	0			
4.9852	1725	5.0492	0			
4.9926	1635	5.0566	0			
5.0001	1575	5.0639	0			
5.0072	1626	5.0712	1			
5.0146	1607	5.0786	0			
5.0219	1589	5.0859	0			
5.0292	1573	5.0932	0			
5.0365	1657	5.1005	0			
5.0439	1606	5.1079	0			
5.0512	1600	5.1152	0			
5.0585	1564	5.1225	0			
5.0659	1564	5.1299	0			
5.0732	1604	5.1372	0			
5.0805	1578	5.1445	0			
5.0879	1502	5.1519	0			
5.0952	1598	5.1592	0			
5.1025	1523	5.1665	0			
5.1099	1516	5.1739	0			
5.1172	1538	5.1812	0			
5.1245	1532	5.1885	0			
5.1319	1490	5.1959	0			
5.1392	1455	5.2032	0			
5.1465	1498	5.2105	0			
5.1538	1388	5.2178	0			
5.1612	1454	5.2252	0			
5.1685	1484	5.2325	0			
5.1758	1474	5.2398	0			
5.1832	1440	5.2472	0			
5.1905	1415	5.2545	1			
5.1978	1440	5.2618	0			
5.2052	1374	5.2692	0			
5.2125	1396	5.2765	0			
5.2198	1394	5.2838	0			
5.2272	1320	5.2912	0			
5.2345	1327	5.2985	0			
5.2418	1343	5.3058	0			
5.2492	1380	5.3132	0			
5.2565	1413	5.3205	0			
5.2638	1361	5.3278	0			
5.2711	1351	5.3351	0			
5.2785	1371	5.3425	0			
5.2858	1384	5.3498	0			
5.2931	1326	5.3571	0			
5.3005	1264	5.3645	0			
5.3078	1277	5.3718	0			
5.3151	1263	5.3791	0			
5.3225	1295	5.3865	0			
5.3298	1271	5.3938	0			
5.3371	1246	5.4011	0			
5.3445	1305	5.4085	0			
