PicoQuant	FluoFit	4.4.0.1				
Saved	:	08/04/2011	16:23:43			
Model:	Exp.	[Reconv.]	(Exponential)			
t[ns]	Intens.	t[ns]	Intens.			
2.9838	10741	3.0562	269			
2.9911	10784	3.0635	271			
2.9985	10628	3.0708	235			
3.0058	10747	3.0782	276			
3.0131	10674	3.0855	276			
3.0205	10553	3.0928	233			
3.0278	10691	3.1002	236			
3.0351	10469	3.1075	244			
3.0425	10778	3.1148	192			
3.0498	10734	3.1222	230			
3.0571	10825	3.1295	225			
3.0645	10703	3.1368	219			
3.0718	10575	3.1442	238			
3.0791	10863	3.1515	232			
3.0864	10775	3.1588	242			
3.0938	10626	3.1661	258			
3.1011	10923	3.1735	237			
3.1084	10854	3.1808	271			
3.1158	10642	3.1881	292			
3.1231	10690	3.1955	258			
3.1304	10849	3.2028	246			
3.1378	10610	3.2101	276			
3.1451	10670	3.2175	266			
3.1524	10719	3.2248	282			
3.1598	10724	3.2321	263			
3.1671	10642	3.2395	296			
3.1744	10685	3.2468	239			
3.1818	10958	3.2541	233			
3.1891	10736	3.2615	248			
3.1964	10484	3.2688	238			
3.2037	10722	3.2761	228			
3.2111	10620	3.2834	195			
3.2184	10610	3.2908	175			
3.2257	10603	3.2981	153			
3.2331	10880	3.3054	135			
3.2404	10643	3.3128	133			
3.2477	10473	3.3201	95			
3.2551	10566	3.3274	76			
3.2624	10731	3.3348	91			
3.2697	10695	3.3421	71			
3.2771	10603	3.3494	48			
3.2844	10525	3.3568	58			
3.2917	10506	3.3641	45			
3.299	10559	3.3714	52			
3.3064	10636	3.3788	52			
3.3137	10475	3.3861	31			
3.321	10479	3.3934	45			
3.3284	10501	3.4007	48			
3.3357	10370	3.4081	42			
3.343	10537	3.4154	44			
3.3504	10421	3.4227	48			
3.3577	10520	3.4301	40			
3.365	10503	3.4374	43			
3.3724	10473	3.4447	41			
3.3797	10382	3.4521	28			
3.387	10298	3.4594	41			
3.3944	10326	3.4667	28			
3.4017	10336	3.4741	30			
3.409	10571	3.4814	20			
3.4163	10242	3.4887	30			
